Subject,Mask,Model,a2,b1,b2,sigma,w1,w_v,w_avg,a2_s,b1_s,b2_s,sigma_s,w1_s,w_v_s,w_avg_s,b1+b2,b1+b2_s,Adjusted R2,bic,bic_rel
110,vmPFC,Absolute,17.954914545364183,2.4229333624137097,0.0,1.0,0.0,0.0,0.0,0.22069534797620238,0.09446290818081216,0.0,0.0,0.0,0.0,0.0,2.4229333624137097,0.09446290818081216,0.02584388943293081,2336208.9902786296,-644.5895925783552
110,OFCmed,Absolute,16.524199561835406,1.7408961303797534,0.0,1.0,0.0,0.0,0.0,0.17160957553193779,0.07345301895243729,0.0,0.0,0.0,0.0,0.0,1.7408961303797534,0.07345301895243729,0.034361353451997534,2191782.143680529,-548.6199244307354
110,dmPFC,Absolute,21.026138705054876,2.533234271962087,0.0,1.0,0.0,0.0,0.0,0.2424669193505051,0.10378166352228786,0.0,0.0,0.0,0.0,0.0,2.533234271962087,0.10378166352228786,0.028645447497962717,2390223.5658519934,-582.6356533099897
110,vmPFC,Relative,1.7501509550116678,22.767004846281008,-19.804322634002542,1.0,0.0,0.0,0.0,0.25828750163825964,0.16151198795348215,0.13500792770354136,0.0,0.0,0.0,0.0,2.962682212278466,0.06926697060940006,0.09275883327786016,2315792.361456457,-21061.21841475088
110,OFCmed,Relative,0.9295745490393437,20.632860493304847,-18.330107399112165,1.0,0.0,0.0,0.0,0.19769665971247077,0.12362340537114205,0.10333684815911534,0.0,0.0,0.0,0.0,2.3027530941926813,0.05301785269906135,0.12862713547745397,2162306.8857898773,-30023.87781508267
110,dmPFC,Relative,1.248607624769614,26.68761520620772,-23.55027159610712,1.0,0.0,0.0,0.0,0.2819653599566703,0.17631819458196765,0.1473844410490154,0.0,0.0,0.0,0.0,3.1373436101006007,0.0756168465057759,0.10682188589746222,2366149.1289740144,-24657.072531288955
111,vmPFC,Null,13.356845312690243,0.0,0.0,1.0,0.0,0.0,0.0,0.2270218785660535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186195001492063,2365266.107829211,0.0
111,OFCmed,Null,13.10093379275483,0.0,0.0,1.0,0.0,0.0,0.0,0.1523415252123413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025000952712851854,2135247.9610654474,0.0
111,dmPFC,Null,17.694944491258454,0.0,0.0,1.0,0.0,0.0,0.0,0.28983539494256044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012754680063081336,2506110.3240795364,0.0
111,vmPFC,Absolute,13.682244358930753,2.852722528351727,0.0,1.0,0.0,0.0,0.0,0.22576554468072524,0.048945916775059904,0.0,0.0,0.0,0.0,0.0,2.852722528351727,0.048945916775059904,0.02336597921457151,2361901.5632573194,-3364.544571891427
111,OFCmed,Absolute,13.34626542240661,2.150783883358508,0.0,1.0,0.0,0.0,0.0,0.15126414952295958,0.03279403188804424,0.0,0.0,0.0,0.0,0.0,2.150783883358508,0.03279403188804424,0.03933064100618311,2130990.9043643894,-4257.056701058056
